items_availability,items_manufacturer,items_name,items_old_price,items_price
 In Stock,DELL,"Dell Vostro 3510 i3 11th Gen / 4GB RAM / 1TB HDD / 15.6"" HD Display",,Rs. 67700
 In Stock,DELL,"Dell Inspirion 3501 i5 11th Gen / 4GB RAM / 1TB HDD / Nvidia MX330 2GB / 15.6"" FHD Display / Windows 10 Genuine",Rs. 85990,Rs. 83000
 In Stock,DELL,"Dell Inspiron 5515 Ryzen 5 5500U / 8GB RAM / 256GB SSD / Vega 8 / 15.6"" FHD display.",,Rs. 95000
 In Stock,DELL,"Dell Vostro 3400 i5 11th Gen / 8GB RAM / 256GB SSD / Nvidia MX330 / 14"" FHD Display",,Rs. 91000
 In Stock,DELL,"Dell Inspiron 5515 Ryzen 7 5700U / 8GB RAM / 512GB SSD / Vega 8 / 15.6"" FHD display",,"Rs. 119,000"
 In Stock,DELL,"Dell Inspiron 5415 Ryzen 7 5700U / 8GB RAM / 512GB SSD / Vega 8 / 14"" FHD display.",,"Rs. 119,000"
 In Stock,DELL,"Dell Vostro 3501 i3 10th Gen / 4GB RAM / 1TB HDD / 15.6"" HD Display",Rs. 62500,Rs. 59000
 In Stock,DELL,Dell inspiron 3501 core-i5-11th GEN/8GB/256GB SSD,Rs. 97000,Rs. 94000
 In Stock,DELL,Dell Inspiron 14 5402 i5 11th Gen | 8GB Ram | 512GB SSD | Win10,Rs. 126000,Rs. 123000
 In Stock,DELL, Dell Laptop 7501-i5-10300H-8GB-512GB-4GB GDDR5- Silver-WS10,Rs. 158000,Rs. 161000
 In Stock,DELL,Dell Laptop 3501-i7-1165G7-8GB-512GB-2GB GDDR5-Soft mint-WS10,Rs. 121000,Rs. 118000
 In Stock,DELL,Dell Inspiron 7306 2-in-1 i7 11Th Gen / 16GB RAM / 512GB SSD / 13.3'' FHD 360-degree Touch Screen Display,Rs. 19300,Rs. 188000
 In Stock,DELL,"Dell Inspiron 7501 i5 10th Gen / 8GB RAM / 512GB SSD / Nvidia GTX 1650ti / 15.6"" FHD Display",Rs. 150000,Rs. 147000
 In Stock,DELL,Dell 5468 i5 7th gen,,Rs. 67000
 In Stock,DELL,Dell 3567 i5 7th gen,,Rs. 72000
 In Stock,DELL,Dell Inspiron 14 3493 i5-10th GEN|4GB|1TB|Ubuntu|Nvidia MX 230 2GB GDDR5,,Rs. 70000
 In Stock,DELL,Inspiron 14 5491  |i5-10thGEN|8GB|256GB SSD|WIFI/BT|Ubuntu|INTEL UHD GRAPHICS|FHD TOUCH,,Rs. 105000
 In Stock,DELL,Inspiron 14 5491 |i5-10GEN|8GB|256GB SSD|WIFI/BT|Ubuntu| Nvidia MX 230 2GB GDDR5|FHD TOUCH,,Rs. 111000
 In Stock,DELL,Dell Inspirion 3501 i5 11th Gen / 8GB RAM / 512GB SSD / Nvidia MX330 2GB / 15.6' FHD Display,Rs. 98000,Rs. 95000
 In Stock,DELL,Inspiron 15 5593  |i5-1035G1U|4GB|128GB SSD + 1TB|WIFI/BT|Ubuntu| Nvidia MX 230 2GB GDDR5|FHD,,Rs. 84500
 In Stock,DELL,DELL 5570- I5-8TH GEN,,Rs. 68000
 In Stock,DELL,Inspiron 15 3481 - |i3-7020U|4GB|1TB|DVD/RW|WIFI/BT|Ubuntu|INTEL HD GRAPHICS 620|HD|No Bag Pack|No Anti Virus|1RPE,,Rs. 48000
 In Stock,DELL,DELL 5567 i7 7th gen,,Rs. 84000
 Out of Stock,ASUS,ASUS Transformer Book T100TA 10.1-inch Detachable Windows 8.1 Tablet,Rs. 45625,Rs. 40150
 Out of Stock,ASUS,ASUS Zenbook 3 UX390UA 12.5 FHD Laptops  (7th GEN / Core i7/ Windows 10 Pro /16 GB RAM/ 512 nvme SSD/Fingerprint),,Rs. 218750
 Out of Stock,ASUS,ASUS Zenbook UX310UQ 13.3 FHD Laptops (8 GB/ 1 TB HDD/Windows 10 / Rose Gold/ 7TH Gen/ i7),,Rs. 143750
 Out of Stock,1.75,ASUS K501UX 15.6 inches Laptops (6th Gen/intel core i5/8GB RAM/1 TB + 256 HDD),,Rs. 122500
 Out of Stock,2.81,ASUS GL502VT 15.6 Inch Laptops (6th Gen/ 16 GB RAM/1 TB + 256 HDD/ Nvidia 970 6G/ DOS/Gaming Backpack/Gaming Mouse/ Gaming Headphone),,Rs. 211250
 Out of Stock,2.2,ASUS GL502VM 15.6 Inches Laptops (7th Gen/Core i7 /16 GB RAM/1 TB + 256 HDD/ Nvidia 1060 6G/ DOS/Gaming Backpack/Gaming Mouse/ Gaming Headphone),Rs. 230000,Rs. 202400
 Out of Stock,ASUS,ASUS GL502VS 15.6'' Full Gaming Laptop ( 7th Gen/Core i7/ 16 GB/ 1TB+256 HDD/ DOS / Nvidia 1070 8G / Windows 10),,Rs. 275000
 Out of Stock,ASUS,ASUS G752VY  17.3'' Laptop ( 6th Gen/Intel core i7/ 32 GB RAM/ 2TB + 256 nvme / DOS / Nvdia 980 4G),Rs. 348750,Rs. 306900
 Out of Stock,MSI,"MSI GS73VR 7RF Stealth Pro 17.3""(7th Gen i7, 16GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",Rs. 265000,Rs. 251750
 Out of Stock,MSI,"MSI GT72VR 7RE Dominator Pro 17.3""(7th Gen i7, 16GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",Rs. 315240,Rs. 283716
 Out of Stock,ASUS,Asus VivoBook X441NA Student PC,,Rs. 39375
 Out of Stock,ASUS,ASUS E203NAH-FD026TS 11.6-inch Laptop,,Rs. 44375
 Out of Stock,ASUS,ASUS VivoBook Max X441UA,,Rs. 55625
 Out of Stock,ASUS,Asus VivoBook X442UA 8th Gen Core i5,,Rs. 76250
 Out of Stock,ASUS,Asus-P2440UA,,Rs. 85000
 Out of Stock,MSI,"MSI PL627RC 15.6""(7th Gen i7, 8GB/1TB HDD/ Windows 10 Home) Gaming Series Notebooks",,Rs. 117000
 Out of Stock,ASUS,ASUS VivoBook Flip 14 TP410UA (I5),,Rs. 106250
 Out of Stock,ASUS,ASUS VivoBook S410UN (i5),,Rs. 111250
 Out of Stock,ASUS,ASUS ZenBook UX430UN (i7),,Rs. 155000
 Out of Stock,ASUS,ASUS FX553VD 7th Gen i5 - Gaming Laptop,,Rs. 137500
 Out of Stock,ASUS,ASUS VivoBook S15 S510UQ (i5),,Rs. 120000
 Out of Stock,ASUS,ASUS ZenBook UX430UN (i5),,Rs. 135000
 Out of Stock,ASUS,ASUS ZenBook Flip 14 UX461UA i5,,Rs. 147500
 Out of Stock,ASUS,ASUS TP203NA-BP051T VivoBook Flip Touchscreen,,Rs. 57500
 Out of Stock,ASUS,ASUS X442UA 7th Gen Core i3,,Rs. 62500
 Out of Stock,ASUS,Asus Vivo Book X510UA i3 7th Gen,,Rs. 73125
 Out of Stock,ASUS,ASUS S410UA i3 7th Gen,,Rs. 75000
 Out of Stock,ASUS,Asus VivoBook S15 S510UA  LCD Notebook - Intel Core i3 (7th Gen),,Rs. 77500
 Out of Stock,ASUS,ASUS X542UA 8th Gen Core i5,,Rs. 85000
 Out of Stock,ASUS,"Asus X542UF ,(i5) 8th Gen",,Rs. 95000
 Out of Stock,ASUS,Asus X542UN  (i5) 8th Gen,,Rs. 112500
 Out of Stock,ASUS,"ASUS ZenBook UX330UA, (i5) 8th Gen",,Rs. 127500
 Out of Stock,ASUS,"Asus S510UN, (i5) 8th Gen - Gold",,Rs. 115000
 Out of Stock,ASUS,"ASUS X542UN Notebook 15.6""",,Rs. 120000
 Out of Stock,ASUS,ASUS VivoBooK S510UN - SSD + MX150-I7,,Rs. 143750
 Out of Stock,ASUS,ASUS X507MA,,Rs. 46000
 Out of Stock,ASUS,ASUS X505BP - AMD,,Rs. 83750
